shastragaar,शस्त्रागार
mikmash,मिकमाश
shaitanfish,शैतानफ़िश
madeh,मादेह
chaiianya,चैतन्य
batra,बत्तरा
modsley,मोडस्ली
fafudnashak,फफूदनाशक
saundaryikrit,सौंदर्यीकृत
poonjeegata,पूँजीगत
chellameshwar,चेल्लामेश्वर
vapes,वेप्स
marguerite,मारगुएराइट
hypothermia,हाइपोथार्मिया
kyaamat,क्यामत
karnekaha,करनेकहा
sanshodhankriya,संशोधनक्रिया
scoparius,स्कोपैरियस
muvia,मुविया
bellin,बेलिन
mahapalli,महापल्ली
antardrishtise,अन्तर्दृष्टिसे
palikantargat,पालिकांतर्गत
badhauni,बढ़ौनी
olamba,ओलंबा
gharkulachya,घरकुलाच्या
rudraraju,रुद्राराजू
angol,आंगोल
aartiya,आरतीय
parlekian,पार्लेकियन
mitu,मीतू
vespoli,वेसपोली
ncerb,एनसीईआरबी
lipo,लिपो
rankaji,रंकजी
nostro,नॉस्ट्रो
maipal,मैपल
rataundi,रतौंदी
bhonsadi,भोंसड़ी
videogram,वीडियोग्राम
trakrs,ट्रैकर्स
shreesher,श्रीशर
karpeechhe,करपीछे
namik,निमिक
environmental,एनवायरमेन्टल
dhulate,ढुलते
devrada,देवराडा
shallots,शॉलट्स
budharamji,बुधारामजी
srivaidya,श्रीवैद्य
waterton,वॉटरटन
shreysar,श्रेयसर
siddhasagar,सिद्धसागर
sadigdho,सदिग्धो
biographer,बायोग्राफ़र
neatherland,नीदरलैण्ड
vangaon,वनगाँव
kattigharon,कट्टीघरों
bajuwale,बाजुवाले
chhatsigarh,छत्सीगढ़
chmet,चमेट
dhart,धर्त
lohiyaan,लोहियाँ
hathibed,हथिबद
tarunambaddal,तरुणांबद्दल
nccpa,एनसीसीपीए
devyn,डेविन
jhuriwala,झुरीवाला
mudyakade,मुद्याकडे
gathkari,गठकरी
anuyayiyonmein,अनुयायियोंमें
sambhokta,संभोक्ता
gumm,गुम्म
tankaron,टंकारों
gavachya,गावाच्या
germanjeet,जर्मनजीत
mallavolu,मल्लावोलु
vaibhavata,वैभवता
sungress,सनग्रेस
cpib,सीपीआईबी
choonchi,चूँची
lekhipatradware,लेखीपत्राद्वारे
keechadyukt,कीचडयुक्त
sirhan,सिरहन
katario,कटारियो
samardhak,समर्धक
sopsing,सोपसिंग
pusdarkar,पुसदरकर
esophageal,ईसोफेजियल
ravindrachi,रवींद्रची
uttarjan,उत्तर्जन
spectometer,स्पेक्टोमीटर
chandipati,चांदीपाटी
natu,नटू
nuiya,नुइया
selebi,सेलेबी
achcho,अच्छो
ghutka,घुटका
baramahi,बारामाही
gunase,गुणसे
anunaasikta,अनुनासिकता
harapan,हरपन
yonhop,यॉनहॉप
updeshse,उपदेशसे
vetekar,वेटेकर
kevyapar,केव्यापार
aashcharyabodhak,आश्चर्यबोधक
manavtala,मानवतला
vartavanukivarun,वर्तवणुकीवरून
malayaza,मलयज
notification,नोटीफ़िकेशन
karyadaman,कार्यदमन
hashid,हशीद
pheasant,फेज़ेण्ट
sundarvati,सुंदरवती
gaddhari,गद्धारी
confident,कानफिडेंट
farmnu,फर्मनु
jhonkati,झोंकती
taazadaar,ताज़दार
smerat,स्मेरत
chanditala,चंडीताला
sanchchiyay,संच्चियाय
junul,जुनूल
aapsas,आपसास
ayogasathi,आयोगासाठी
squared,स्कयर्ड
jodapyan,जोडप्यां
vihaksh,विहक्ष
swapnat,स्वप्नात
bischoff,बिशोफ़
brahmcharyadharma,ब्रह्मचर्यधर्म
adrianople,एड्रियनोपल
soofiyan,सूफियां
shrimantichi,श्रीमंतीची
poush,पौष
pasalwar,पसलवार
conformity,कंफर्मिटी
erythematosus,एरिथिमेटस
karyapranalibabat,कार्यप्रणालीबाबत
subaahya,सुबाह्य
vrtopavaas,व्रतोपवास
schwenk,स्वेंक
hanglu,हैंग्लू
kaalkey,कालके
arjanu,अर्जनु
spdt,एसपीडीटी
aspasa,आसपासा
jinmeiy,जिनमेइयो
jalautra,जलौत्रा
seavers,सीवर्स
abhipreranaa,अभिप्रेरणा
thobde,थोबडे
sanchmanyata,संचमान्यता
sangharshaane,संघर्षाने
biskohar,बिसकोहर
shivaraju,शिवराजु
pranathi,प्रनाथी
neeyak,नीयक
shigeru,सिगेरू
kinrara,किनारा
passus,पासस
tjac,टीजेएसी
naffa,नफ्फा
ginde,गिंदे
popatwadi,पोपटवाड़ी
hinjilicut,हिंजिलिकट
aavartanache,आवर्तनाचे
sabalpura,सबलपुरा
staubli,स्टौब्ली
balamurukan,बालामुरूकन
escap,एस्कैप
bhoranjwasi,भोरंजवासी
samboora,साम्बूरा
sudharanemadhye,सुधारणेमध्ये
catalbound,कैटलबाउंड
fracing,फ्रेसिंग
kendela,केंडेला
subahaan,सुबहान
kiranmal,किरणमल
sogya,सोग्या
jeweltheep,ज्वेलथीप
elda,एल्डा
musari,मुसारी
khoonprakarani,खूनप्रकरणी
lohakheda,लोहाखेड़ा
bajuganj,बाजूगंज
geezer,गीजर
irda,अाईआरडीए
upaayaadhyaksh,उपायाध्यक्ष
doce,डूस
bodhicharyavtar,बोधिचर्यावतार
bhogyukt,भोगयुक्त
subbanghat,सुब्बनघाट
gandhase,गंधसे
satyakiran,सत्यकिरण
morgon,मोर्गों
poonjeepati,पूंजीपति
unkegalat,उनकेगलत
pitthi,पिट्ठी
ghormanagar,गोरामंगर
brisket,ब्रिस्केट
bicycle,बायसायकिल
bhashabhed,भाषाभेद
sadhtil,साधतील
modly,मोदली
saparaksha,सपरक्षा
pannawala,पन्नवाला
karmanshah,कर्मनशाह
tyanchyasarkha,त्यांच्यासारखा
antarskool,अंतरस्कूल
sheshi,शेशी
pakodiyaan,पकोड़ियाँ
portobello,पोर्टबेलो
hillig,हिलिग
horticulture,हार्टीकल्चर
doddaballapur,दोड्डबल्लापुर
kuche,कूचे
chellapilla,चेलपिल्ला
khpil,खपिल्
aprsann,अप्रसन्न
mukhyapeeth,मुख्यपीठ
thakal,थकल
udasintene,उदासीनतेने
raagniyaan,रागनियाँ
godamiyat,गोदामियत
baichane,बैचने
gunvattaprapt,गुणवत्ताप्राप्त
hessa,हेस्सा
lorta,लोरटा
vidmaan,विद्मान
saathiyen,साथियें
latkaleli,लटकलेली
palithin,पालिथीन
ramchandrasuri,रामचन्द्रसूरि
boneta,बोनेटा
firtarat,फिरतरत
jhontwada,झोंटवाड़ा
bhamidpati,भामिदपति
samort,समोर्ट
vrikshabandhan,वृक्षाबन्धन
toulouse,टूलूज
diab,दियाब
dipteshwar,डिप्टेश्वर
sarvabeej,सर्वबीज
happenings,हैपनिंग्स
dravyarashi,द्रव्यराशि
farrukhabaj,फर्रुखाबाज
msd,एमएसडी
adhyansheel,अध्यनशील
galcambal,गलकम्बल
suhasji,सुहासजी
ksheenak,क्षीणक
meiklejohn,मिकेलजॉन
macleod,मैकिलोड
lokaparw,लोकपर्व
oliviera,ओलिवियरा
noypal,नॉयपाल
sahityaratna,साहित्यरत्न
ghoshanesah,घोषणेसह
bachegouda,बाचेगौडा
gumanpur,गुमानपुर
popade,पोपडे
parishkritata,परिष्कृतता
npti,एनपीटीआई
jaminachi,जामिनाची
nakaratmak,नकरात्मक
pratidvantita,प्रतिद्वंतिता
tiffinwala,टिफिनवाला
vlined,व्लाइंड
prakriyevaroon,प्रक्रियेवरून
marmelos,मार्मेलोस
gapada,गपाड़ा
afsarnuma,अफसरनुमा
arco,आर्को
chhailu,छैलू
tarohala,तरोहला
chukwin,चुक्विन
firuni,फिरूनी
underpaths,अंडरपाथों
abhiyaachit,अभियाचित
kreyon,क्रेयों
guraadiyaamaana,गुराड़ियामाना
kshetragyavibhagayog,क्षेत्रज्ञविभागयोग
dvidhruvi,द्विध्रुवी
vivekanidhi,विवेकनिधि
shamiti,शमिति
maenam,मेनम
pratikrantiyon,प्रतिक्रान्तियों
darupayog,दरूपयोग
baazaarbaad,बाज़ारबाद
sharatiyon,शरातियों
inden,इन्डेन
joerg,जोएर्ग
dooars,दुरस
sathjina,साथजीना
karyanchi,कार्यांची
khurpenchiyan,खुरपेंचियां
nrdc,एनआरडीसी
newzom,न्यूज़ोम
jeernodhaar,जीर्णोद्धार
ketkeeping,केटकीपिंग
rishwatkhori,रिश्वतखोरी
nakata,नाकाटा
praatamiktaa,प्रातमिकता
talatod,तालातोड़
karungli,करुंगली
kararasathi,करारासाठी
dhokhakhaye,धोखाखाए
koratala,कोराटाला
rantna,रंतना
saadhanaatit,साधनातीत
lekaane,लेकाने
kalungu,कलुंगू
mendonsa,मेंडोंसा
platinium,प्लेटीनियम
anonizing,एनोनाइजिंग
wichlich,विचलिच
steven,स्टीवन
gingelly,जिंजली
pashupatishwar,पशुपतीश्वर
aishmukaam,ऐशमुकाम
chorkol,चोरकोल
nata,नाता
tazruba,तज़रुबा
matisek,मैटिसेक
maddins,मेडिंस
valin,वालिन
kanjolia,कंजोलिया
kaluwas,कलुवास
sakalpana,सकल्पना
vachikrupen,वाचिकरूपेण
dhokhaghadi,धोखाघडी
pctc,पीसीटीसी
divizan,डिविजन
agardhatt,अगरधत्त
smpreshan,सम्प्रेषण
affliate,एफ्लिएट
kokanasth,कोकनस्थ
pechkash,पेचकश
narendragiri,नरेन्द्रगिरि
complition,कम्प्लिशन
parthshastri,पार्थशास्त्री
jors,जॉर्स
deuterostomia,ड्यूटेरोस्टोमिया
balabakhsh,बालाबख्श
dauryaprasangi,दौऱ्याप्रसंगी
sanhaula,सन्हौला
kedah,केदाह
ghathit,घठित
abhitra,अभित्र
raisih,रायसिह
uthgya,उठग्या
kwingdao,क्विंगडाओ
lakshmivira,लक्ष्मीवीरा
mahasandesh,महासंदेश
belame,बेलामे
stepien,स्टीफ़न
kekaran,केकारण
shikal,शिकल
lemar,लेमर
bandukwala,बंदूकवाला
monopyl,मोनोपाइल
dhanvantri,धन्वन्तरि
jagannadh,जगन्धा
bhurakhan,भूराखान
weiqi,वेइकी
uboh,उबोह
extremely,एक्सट्रेमेली
prabhavadevi,प्रभावदेवी
telia,टेलिया
lanila,लनिला
amoom,अमूम
vaparavayache,वापरावयाचे
bharvaaye,भरवाये
upbndh,उपबन्ध
womens,वुमेनस
daraay,दराय
renil,रेनिल
bithoba,बिठोबा
schiefleria,स्कीफ्लेरिया
imx,आीएमएक्स
tagaate,तगाते
sammaanat,सम्मानत
shib,शिब
parvatarohan,पर्वतारोहण
nirvrat,निर्व्रत
citiis,सिटीज
jinpura,जीनपुरा
addient,एडियंट
mveshiyon,मवेशियों
mehmane,मेहमाने
yathaaavashyak,यथाआवश्यक
bhrachakr,भ्रचक्र
shaklosurat,शक्लोसूरत
navmukh,नवमुख
gheranyacha,घेरण्याचा
sankshiptabhavarth,संक्षिप्तभावार्थ
reewan,रीवां
suganchidi,सुगनचिड़ी
samparkata,संपर्कता
julaniyapura,जुलानियापुरा
manidweep,मणिद्वीप
papinayaknahali,पापिनायकनहल्लि
dhakk,ढक्क
jyotiche,ज्योतीचे
banaaon,बनाऊँ
sambhaaliye,सम्भालिये
sunscreen,सन्सक्रीन
ksbp,केएसबीपी
samartunga,समरतुंगा
placementco,प्लेसमेंटको
lakshanavali,लक्षणावली
ellington,एलिंग्टन
injiniyaron,इंजीनियरों
baibal,बाईबल
sahezataa,सहेज़ता
flanders,फ्लान्डेर्स
narsee,नरसी
darbarmrityulok,दरबारमृत्युलोक
tudo,टूडो
gauns,गौंस
visakhanapatnam,विशाखानपट्टनम
shadyantra,षडयन्त्र
dhena,धेना
tentacle,टेन्टेकल
buckman,बकमैन
prabardhit,प्रबर्धित
gunak,गुणन
thansiami,तनासाईमी
niyas,नियास
gadoli,गदोली
safyaan,सफायन
sajibun,सजीबुन
bentsen,बेंटसेन
chanam,चानम
bartar,बरतर
ghapadchoth,घपड़चोथ
venkatachala,वेंकटचला
vaidaain,वैदाइन
temperley,टेम्पर्ले
ajafal,अजफल
jaaegya,जाएगा
dotasara,डोटासारा
samharal,सम्हारल
saghaur,सघौर
vrittavahinila,वृत्तवाहीनीला
chakrawal,चक्रवाल
manjampatti,मंजमपट्टी
churaa,चूरा
milchan,मिलचन
vedvidhi,वेदविधि
potasian,पोटेशियन
drahal,द्रहल
mesoderm,मेसोडर्म
lakhubhai,लखुभाई
mithilanchali,मिथिलांचली
bahakhata,बहखता
alika,अलीका
bhameshwari,भमेश्वरी
imbarcation,इंबारकेशन
nahr,नाहर
cabiria,कैबिरिया
mariehamn,मेरिहामैन
vairus,वाइरस
iklehra,इकलेहारा
darabont,डारबॉन्ट
facian,फेशियन
pohachalyacha,पोहचल्याचा
navanidhi,नवनिधि
minaria,मिनारिया
marayachya,मारायच्या
bodded,बॉडेड
rishteydaaron,रिश्तेदारों
satguron,सत्गुरों
attache,अटैची
kamanshi,कामांशी
karjoda,करजोडा
hindupur,हिंदूपुर
beehadee,बीहड़ी
philanthropist,फिलैन्थ्रपिस्ट
jackwell,जैकवेल
chickens,चिकेन्स
asthinche,अस्थिंचे
jeru,जेरू
oradexon,ओराडेक्सॉन
rajyarani,राज्यराणी
vidhalaye,विधालय
gaddanen,गद्दनें
nigalakar,निगलकर
licences,लाइसेंसेज
srishchandra,श्रीश्चंद्र
gharashejarchya,घराशेजारच्या
bhotaauna,भोटाऊना
rhythmbox,रिदमबाक्स
sonapi,सोनापी
mudulipara,मुदुलीपारा
kahalaate,कहलाते
machanewale,मचानेवाले
jabbarhatti,जब्बारहट्टी
chhotuminana,छोटूमिनाना
kaminaini,कामिनैनी
bline,ब्लाइन
banwarisingh,बनवारीसिंह
chikitsakgan,चिकित्सकगण
samira,समिरा
bajralal,बज्रलाल
kireepa,किरिपा
vishaalane,विशालने
hadrith,हदरीथ
parayut,परायुत
largranthi,लारग्रंथी
krishiputra,कृषिपुत्र
vridridh,वृद्रिध
sapience,सेपिएन्स
bhaggoo,भग्गू
nehatya,नेहत्या
dadant,दादांत
heritable,हेरिटेबल
khabanda,खबंदा
shatbhi,शतभी
manaskhand,मानसखण्ड
mannanam,मन्नानम
maclec,मैकलेक
gandhijini,गांधीजीनी
chindiyon,चिंदियों
bichaalai,बिचालै
kootnayik,कूटनायिक
chandigadpramane,चंदीगडप्रमाणे
sukhaskti,सुखास्क्ति
resumption,रिजंपशन
sagaramala,सागरमाला
panchayatchunav,पंचायतचुनाव
oveservation,ओवजरवेशन
satiyaputron,सतियपुत्रों
dinkaraji,दिनकरजी
fluppy,फ्लपी
kheragarh,खैरागढ़
agratvacha,अग्रत्वचा
monoz,मोनोज
hastidantachi,हस्तीदंताची
iqlab,इकलाब
delayed,डिलेयड
masudon,मसूड़ों
openly,ओपनली
dhondup,धोंदुप
badhaenge,बढ़ाएंगे
trust,ट्रस्ट
yamanappa,यमानप्पा
banas,बनांस
joser,जोसेर
baalaaychaand,बालायचाँद
yoonaan,यूनान
canonical,कैनेनिकल
mhilaaon,म्हिलाओं
usapoti,उसापोटी
anthracin,एंथ्रासीन
moodbidri,मूदबिद्री
ghumakar,घुमाकर
bhaaratvidon,भारतविदों
rahasyopasana,रहस्योपासना
majabuuriyon,मजबूरियों
apdaab,अपदाब
gavatapasoon,गवतापासून
ukaar,उकार
saifi,सैफ़ी
murugappan,मुरुगप्पन
bulwata,बुलवाता
parivartat,परिवर्तत
chuskiyaate,चुस्कियाते
bhogyam,भोग्यं
bhajipal,भाजीपाल
immunodificincy,इम्यूनोडिफीसिन्सी
salmonids,सैल्मोनाइड्स
bhojbai,भोजबाई
chatrika,चत्रिका
parijataharan,पारिजातहरण
anaphylaxis,एनाफाइलेक्सिस
dhasakyaane,धसक्याने
aksaraha,अक्सरहा
rostok,रोस्तोक
kichhauchhavi,किछौछवी
caatsa,काट्सा
mohawa,मोहावा
mahadalkar,महाडलकर
jorcus,जोरकस
bulbuledar,बुलबुलेदार
digdarshanahi,दिग्दर्शनही
dhanoa,धानोआ
kshetradhish,क्षेत्राधीश
anekarupta,अनेकरूपता
bautista,बॉटिस्टा
stillit,स्टिलिट
somidevi,सोमीदेवी
curran,कुरन
pankthibaddh,पंक्तिबद्ध
lombardi,लोंबार्डी
bahikhaat,बहीखात
minind,मिनिंद
kalalhati,कलालहटी
mukutpura,मुकुटपुरा
davaabon,दवाबों
madakkoil,मडक्कोइल
comsex,कॉमसेक्स
kahiyega,कहियेगा
shaikhawat,शैखावत
sarangani,सारंगानी
lunesta,लुनेस्टा
srital,श्रीताल
kegaon,केगांव
westindian,वेस्टइंडियन
tusson,टसन
khuljaane,खुलजाने
iftira,इफ़्तिरा
vashneva,वाश्नेवा
mostsero,मोस्टसेरो
septumber,सेप्टम्बर
aankhdon,आंकड़ों
akilandeshwari,अकिलन्देश्वरी
hydroxyl,हाइड्रोक्सिल
gultekadi,गुलटेकडी
stylesheet,स्टाइलशीट
biodota,बायोडॉटा
sucson,सक्सन
nityasurigan,नित्यसुरीगण
brajkshetra,ब्रजक्षेत्र
drapt,दृप्त
samajaave,समजावे
shikshamandir,शिक्षामंदिर
goldems,गोल्डेम्स
mcdermott,मैक्डरमट
fure,फ्यूर
doothon,दूतों
kudnu,कुडनू
riyavan,रियावन
tuljapurnagari,तुळजापूरनगरी
khadgavaas,खड़गवास
tofino,तोफिनो
fennella,फेनेला
babustadium,बाबूस्टेडियम
kailaswadi,कैलासवाडी
rajagopal,राजगोपाल
gunaranjan,गुणरंजन
hajla,हजला
gimire,गिमिरे
marathwadayala,मराठवाडयाला
igloo,इग्लू
lavsool,लवसूल
shugarkadoon,शुगरकडून
padijattumari,पडिजट्टुमारी
mahaprasadasathi,महाप्रसादासाठी
bitwa,बिटवा
abhivechan,अभिवेचन
unnamaad,उन्नमाद
pacingermanickpur,पैसिंजरमानिकपुर
maratini,मार्टीनी
netritvaavarach,नेतृत्वावरच
chitakta,चिटकता
puddling,पडलिंग
penchbaruah,पेंचबरूआ
lakshaadhik,लक्षाधिक
koil,कोयल
cabtop,कैबटॉप
yapres,यप्रेस
vrikshaavaran,वृक्षावरण
swept,स्वेप्ट
hindalco,हिन्डालको
yake,यके
baghra,बाघरा
mlodenovic,म्लोदेनोविच
skippy,स्किपी
rgr,आरजीआर
haminpur,हमीनपुर
qahistan,क़हिस्तान
yokogawa,योकोगावा
quarlifying,क्वारलिफाइंग
kamityanchya,कमिट्यांच्या
marathons,मैराथंस
ghuspaithonko,घुसपैठोंको
nasihat,नसीहत
asamanyta,असामान्यता
kalgude,कालगुडे
compinus,कम्पिनस
qaboos,काबूस
chikitsalayonko,चिकित्सालयोंको
soumyajit,सौम्यजीत
natthan,नत्थन
menaya,मेनाया
catamy,कैटमी
dharmapuram,धर्मापुरम
madhumehane,मधुमेहाने
anjalila,अंजलीला
tausifcha,तौसिफचा
vigyaananishth,विज्ञाननिष्ठ
lupton,लुप्टन
aryajanon,आर्यजनों
dillagi,दिल्लगि
virodhipakshanete,विरोधीपक्षनेते
agatyaache,अगत्याचे
hockwork,होकवर्क
gaurye,गौर्ये
kewasi,केवासी
janjaatiyan,जनजातियां
humpey,हम्पे
cardie,कार्डी
shugal,शुगल
shamanyan,शमनयान
ardhgol,अर्धगोल
nainikhad,नैनीखड़
nisakriya,निसक्रिय
incumbancy,इन्कम्बैंसी
sajagatetoon,सजगतेतून
shingaha,शिन्ग्ह्
sharandeep,शरणदीप
khushiike,खुशीके
modugumudi,मोदुगुमुडी
sdpn,एसडीपीएन
nakorn,नाकोर्न
enumerations,एनुमरेशन
sattachyut,सत्ताच्यूत
keleprakarani,केलेप्रकरणी
utpattini,उत्पत्तिनि
pandiarajan,पांडियाराजन
closures,क्लोजर्स
